name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
宝光股份,电气设备,陕西,103.8,23585.83,23585.83,90618.49,66925.25,21353.52,757.78,0.03,0.17300000000000001,2.02,11.85,20020116
神思电子,软件服务,山东,364.63,8710.0,16000.0,43394.19,33986.43,7206.72,8143.97,0.51,0.062,2.45,12.39,20150612
先进数通,软件服务,北京,267.13,3000.0,12000.0,108420.51,107081.75,577.87,35528.6,2.96,0.26,5.62,12.57,20160913
国投中鲁,软饮料,北京,947.78,25402.0,26221.0,156486.63,86599.86,56859.4,52681.81,2.01,0.013000000000000001,3.13,5.42,20040622
蓝晓科技,化工原料,陕西,82.28,3295.94,8095.75,83921.3,58222.38,4876.85,40293.03,4.98,0.551,8.7,6.94,20150702
绿庭投资,多元金融,上海,1277.85,36646.71,71113.21,116633.38,48510.73,6894.86,38475.9,0.54,0.005,0.95,9.75,19931122
中恒集团,中成药,广西,30.48,327524.25,347510.72,604510.44,311046.75,91460.8,8572.66,0.02,0.125,1.52,3.33,20001130
上海沪工,专用机械,上海,106.01,2500.0,10000.0,72460.63,58311.81,12478.6,27212.6,2.72,0.6,6.03,11.81,20160607
胜利股份,供气供热,山东,221.37,66144.9,88008.46,415918.41,153824.44,79029.57,101583.5,1.15,0.022000000000000002,2.76,2.37,19960703
汉邦高科,电脑设备,北京,413.38,7191.7,14418.4,89612.95,81347.4,713.58,31700.5,2.2,0.084,4.46,10.35,20150422
正虹科技,饲料,湖南,0.0,26663.35,26663.46,63680.25,23757.21,28503.94,18257.84,0.68,-0.016,1.67,8.44,19970318
锌业股份,铅锌,辽宁,66.65,140986.28,140986.92,377255.5,192085.86,86103.96,131577.38,0.93,0.067,1.5,3.96,19970626
石英股份,矿物制品,江苏,75.51,8016.0,22489.19,123808.72,73366.34,34218.37,57053.16,2.54,0.22899999999999998,5.18,4.46,20141031
鲁商置业,区域地产,山东,57.38,100096.79,100096.79,4207260.0,4124179.5,43742.23,29922.19,0.3,0.078,2.21,2.7,20000113
